year,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,
1978,3558681,4325832,70237487,67660725,641120,15.115,472404,11.138,14231915,4588138,9643777,6.781,21.034,9078286,3566096,5512190,5.271,13.417,5153629,7.617,26.835,326342,331467,1821380,
1979,3691766,4485662,74695825,72563109,616172,13.969,466842,10.584,13689163,4363388,9325775,6.013,18.865,9419052,3253640,6165412,4.484,12.980,4270111,5.885,25.961,330113,334625,1788168,
1980,3739254,4550743,75047757,74847756,578382,12.800,514135,11.378,11776418,4059876,7716542,5.424,15.734,11378456,3488995,7889461,4.661,15.202,397962,0.532,30.404,369197,374201,1939210,
1981,3768275,4611481,75780313,75409881,586641,12.810,522895,11.418,12127685,4574054,7553631,6.066,16.082,11381026,3486307,7894719,4.623,15.092,746659,0.990,30.184,377139,383423,1997150,
1982,3741795,4616851,74964152,75321132,574911,12.458,571114,12.375,11842141,4220283,7621858,5.603,15.722,12547122,3858896,8688226,5.123,16.658,-704981,-0.936,31.444,406314,412248,2221116,
1983,3830603,4711950,74000992,74476547,623891,13.375,529233,11.346,12142710,4390443,7752267,5.895,16.304,13106959,4106956,9000003,5.514,17.599,-964249,-1.295,32.608,363039,370051,2097247,
1984,4001185,4903198,78654868,76247871,698437,14.525,509154,10.588,14778148,5110201,9667947,6.702,19.382,9959900,3629223,6330677,4.760,13.063,4818248,6.319,26.125,364744,371117,2067676,
1985,4072945,4985485,81578824,80128843,683049,13.815,600465,12.145,14895026,5169181,9725845,6.451,18.589,11997518,4816824,7180694,6.011,14.973,2897508,3.616,29.946,431657,440689,2816160,
1986,4157330,5111669,83659358,82555437,711203,14.089,583703,11.563,14961678,5543518,9418160,6.715,18.123,12747316,4371380,8375936,5.295,15.441,2214362,2.682,30.882,414723,422550,2553227,
1987,4223741,5224171,85883182,84911140,740346,14.326,627639,12.145,16309520,6500736,9808784,7.656,19.208,14370278,5265202,9105076,6.201,16.924,1939242,2.284,33.848,435803,444145,2819043,
1988,4307924,5358614,88386748,87197741,738787,13.952,611798,11.554,16367812,6249391,10118421,7.167,18.771,13995213,5102042,8893171,5.851,16.050,2372599,2.721,32.100,425385,435338,2790551,
1989,4381671,5471288,91335991,89872472,723402,13.357,612868,11.316,16256980,5937807,10319173,6.607,18.089,13356533,4986229,8370304,5.548,14.862,2900447,3.227,29.723,429504,441747,2785028,
1990,4445193,5569383,93672444,92590197,699980,12.679,602832,10.919,15495106,5562315,9932791,6.007,16.735,13330163,4565855,8764308,4.931,14.397,2164943,2.338,28.794,433885,444864,2720575,
1991,4412309,5604429,91448308,92566346,690069,12.359,648730,11.618,13970040,5606730,8363310,6.057,15.092,16217390,5499531,10717859,5.941,17.520,-2247350,-2.428,30.184,453798,466567,3381817,
1992,4413561,5615231,91433176,91423752,650448,11.601,633985,11.307,14682559,5141825,9540734,5.624,16.060,14660508,5116418,9544090,5.596,16.036,22051,0.024,32.072,415346,426543,2694229,
1993,4495325,5682098,93098269,92278578,650153,11.511,582647,10.315,14919944,4856039,10063905,5.262,16.168,13295608,4460637,8834971,4.834,14.408,1624336,1.760,28.816,386320,398424,2316616,
1994,4575061,5791195,95644615,94537999,682056,11.881,580719,10.116,15281206,5368275,9912931,5.678,16.164,13065723,4527679,8538044,4.789,13.821,2215483,2.343,27.641,398829,410734,2473855,
1995,4673781,5921697,99007883,97274231,706268,12.061,574744,9.815,16018996,5679421,10339575,5.839,16.468,12546167,4316617,8229550,4.438,12.898,3472829,3.570,25.795,398626,411668,2465275,
1996,4721280,5999130,100035606,99131138,701257,11.789,599353,10.076,15731123,5759547,9971576,5.810,15.869,13928245,4652430,9275815,4.693,14.050,1802878,1.819,28.101,416571,429214,2630186,
1997,4776188,6075310,103096971,101735147,736945,12.205,662364,10.970,18186371,6431587,11754784,6.322,17.876,15443548,5773198,9670350,5.675,15.180,2742823,2.696,30.360,434202,449149,2913273,
1998,4853365,6187189,107677922,106023674,702298,11.434,612366,9.970,17954568,6120531,11834037,5.773,16.934,14617950,4954857,9663093,4.673,13.787,3336618,3.147,27.575,400468,413211,2474989,
1999,4882920,6245847,109798177,108811839,691280,11.119,633539,10.190,17668591,6099481,11569110,5.606,16.238,15695906,5632756,10063150,5.177,14.425,1972685,1.813,28.850,408700,424002,2731114,
2000,4902688,6300959,113580977,111854596,680793,10.849,628940,10.023,18667643,6164783,12502860,5.511,16.689,15220763,5365974,9854789,4.797,13.608,3446880,3.082,27.215,405054,420691,2584824,
2001,4913026,6332541,113762122,113648128,694280,10.992,661451,10.472,17758400,6314202,11444198,5.556,15.626,17529551,6322783,11206768,5.563,15.424,228849,0.201,30.849,408275,425798,2823695,
2002,4929588,6392493,111806474,113152210,759225,11.916,716892,11.252,18534074,7466120,11067954,6.598,16.380,21237290,7145048,14092242,6.315,18.769,-2703216,-2.389,32.760,424349,439540,3421879,
2003,4992505,6459699,112470635,112138004,734540,11.433,665135,10.352,17680374,6014548,11665826,5.364,15.767,17021242,5842203,11179039,5.210,15.179,659132,0.588,30.358,416540,428295,2631272,
2004,5085554,6567564,114153514,113373966,749984,11.513,642887,9.869,17244474,5848186,11396288,5.158,15.210,15721742,5547854,10173888,4.893,13.867,1522732,1.343,27.734,414441,426506,2652596,
2005,5167197,6676953,115436631,114827969,769592,11.621,660923,9.980,17011855,6140590,10871265,5.348,14.815,15790973,5180047,10610926,4.511,13.752,1220882,1.063,27.504,430610,441887,2655820,
2006,5256390,6841232,119273934,117433033,845447,12.509,680843,10.073,18702511,6839546,11862965,5.824,15.926,15039731,5013158,10026573,4.269,12.807,3662780,3.119,25.614,460700,471139,2623146,
2007,5293177,6918834,119789883,119562253,808143,11.748,728051,10.584,18281774,6360723,11921051,5.320,15.291,17830638,5897019,11933619,4.932,14.913,451136,0.377,29.827,467465,477325,2799410,
2008,5232233,6875852,119577841,119640729,711369,10.316,751321,10.895,16967696,5626906,11340790,4.703,14.182,17125214,5589330,11535884,4.672,14.314,-157518,-0.132,28.364,495808,506425,2861728,
2009,5090292,6740558,113691683,116783447,633564,9.290,792689,11.623,13391623,4972585,8419038,4.258,11.467,19588343,5594170,13994173,4.790,16.773,-6196720,-5.306,22.934,511486,524436,3059694,
2010,5018813,6672057,111309955,112519639,636919,9.496,707203,10.544,13412849,4761629,8651220,4.232,11.920,15813128,4731827,11081301,4.205,14.054,-2400279,-2.133,23.841,440520,453105,2411858,
2011,4995859,6668509,112879366,112103809,659925,9.894,662940,9.939,14735969,4562103,10173866,4.070,13.145,13173633,4242056,8931577,3.784,11.751,1562336,1.394,23.503,420718,433755,2213182,
2012,5042675,6713567,115353493,114123900,670353,10.019,624429,9.333,15749664,4705968,11043696,4.124,13.800,13279605,4393797,8885808,3.850,11.636,2470059,2.164,23.272,380124,392454,2205602,
2013,5067524,6753461,117602279,116501552,661128,9.819,619829,9.206,15538812,4901531,10637281,4.207,13.338,13336888,4468805,8868083,3.836,11.448,2201924,1.890,22.896,384914,392695,2217436,
2014,5104509,6826222,120124783,118844398,672677,9.906,601184,8.853,15601678,5075045,10526633,4.270,13.128,13040131,4296355,8743776,3.615,10.972,2561547,2.155,21.945,382354,390861,2127232,
2015,5151116,6911298,123230846,121683226,689779,10.042,605357,8.813,16293694,5398958,10894736,4.437,13.390,13190087,4298674,8891413,3.533,10.840,3103607,2.551,21.679,383683,393440,2235726,
2016,5216688,7036473,125746900,124494047,710693,10.191,585718,8.399,16037554,5263576,10773978,4.228,12.882,13537595,4296025,9241570,3.451,10.874,2499959,2.008,21.748,385840,395735,2316597,
2017,5251809,7078276,127480852,126481010,683300,9.682,640913,9.082,17107200,5316536,11790664,4.203,13.526,15118080,5160048,9958032,4.080,11.953,1989120,1.573,23.906,395513,406682,2464056,
2018,5286921,7106022,129685273,128627825,668004,9.425,631246,8.906,16456764,5069146,11387618,3.941,12.794,14334136,4643743,9690393,3.610,11.144,2122628,1.650,22.288,398175,409005,2361596,
2019,5335794,7182485,131880286,130728713,687042,9.617,610007,8.539,15802072,5025844,10776228,3.844,12.088,13532682,4339677,9193005,3.320,10.352,2269390,1.736,20.703,410490,419007,2376434,
2020,5340972,7206748,132737246,132326312,693767,9.643,668595,9.294,15811748,5359083,10452665,4.050,11.949,14985700,4773584,10212116,3.607,11.325,826048,0.624,22.650,426546,437361,2485223,
2021,5397456,7259315,127132349,129977622,784603,10.848,731361,10.112,14919274,5245277,9673997,4.036,11.478,20597372,5049732,15547640,3.885,15.847,-5678098,-4.369,22.957,439760,456248,2441755,
2022,5535295,7400528,133689031,130359909,848837,11.582,705882,9.631,21440730,5881435,15559295,4.512,16.447,14765196,5283590,9481606,4.053,11.326,6675534,5.121,22.653,485537,501180,2643141,
